Brand Name,Reasons
Brieftons,
Bright Starts,
"Brightz, Ltd",
Brio,
Brita,
Britax,
British Phonographic Industry Limited,
Broadway Basketeers,
Brondell,
Bronze Gallery,
Brooks,
Brookstone,
Brother,
Brownie Brittle,
"Browning Laboratories, Inc.",
BRPS,
Bruce Lee Enterprises,
BRUNTMOR,
Brussel's Bonsai, Cease & Desist letter
Brylane Home,
BTEXPERT,
BTG,
"Bua, Inc.",
Bubba,
Buddha Teas,
Buddy & Friends,
Bug Me Video Inc.,
Build-A-Bear,
Bulbhead,
Bulova,
Bumbleride Inc.,
Bumbo,
bumGenius,
Bump,
Burberry,
Burt's Bees,
Bush Industries,
Bushnell Performance Optics and Tasco Sales Pty Ltd.,
Butter London,
Butterfly ,
Butterie,ip complaint
Buxom Buxom,
Bwthynbach,
Byer of Maine Sports,
BZB,
C-color,
C.CTN,
Cable Matters,
CAKE BOSS,
CALIFORNIA STRAWS,
Callaway,
Calphalon,
"Calutech, Inc.",
Calvin Klein,
Cambay Linens,
CamelBak,copyright issue
CameraQuest,
Camp Chef,
Canadian Standards Association,
Candle Warmers Eyc,
Cane & Austin,
Canon,
Canon Cameras,
"Canyon Chenille, Inc.",
Canyon Dancer Motorcycle Products,
CAP,
CAP barbells,
"Capital Brands - Magic Bullet, Ninja Bullet, Baby Bullet, etc.",
Car-Freshner Corporation,
"Care Creations, Inc.",
Cargo,
Carhartt,
Carmen's Vintage Collections,
Carmix-GPS,
Carnation Breakfast Essentials,
"Carrs Coins and Rocks, Inc.",
Cartener,trademark Infringement
Carter’s,
Cartier,
Casablanca Fan,
Casio,
CastleCreek,
Catan,
Caudalie,
CBD Daily,
"CBS Entertainment and Desilu, too, LLC (Unforgettable Licensing)",
CC Boardds,
cease and desist Hansgrohe,
Cel-Fi,
Celestron,
Cen-Tec,Trademark infringement 
Cen-Tec Systems,
"CeraNet, Inc.",
Chalk & Vermilion Fine Arts,
Champion (Not Champion Power Equipment),
Champion Power Equipment,
Chanel,
CHANGEAWAY,
Channie's Brand,
Chantal,
Chapin,
Char-Broil,
Char-griller,
Charles Cook,
Charles Products,
Chaz Dean Studio,Infringement type: Trademark 
Checkers,copyright complaint
Cheez-It,
Chef Land,
Chef's Cuisine,
Chefman,
ChefWave,
Chemex,
CHEMEX,
CHI,
CHI Steam,
Chicco,
Chico,
"Chief Architect, Inc.",
Child of Mine,
Chill-O,
Chloe,
CHOCOLATE FOUNTAINS,
ChromeWheels,
Circulon,
Citizen,
City Scene,
Clairsonic,
Claritin,
Clarks Shoes,
Clarkston,
Classic Accessories,
Classic Video L.L.C.,
Clayful Creations,
Cleanze Antibacterial Liquid Hand Soap,
Clear Dash HD,
Clear TV,
Clearmax,
Clevr,
Click N' Play,
Climb Cart,
Cloanto Italia srl,
CLOCHE COUTURE TRADEMARK,
Clorox,
Cloud 9,
Cloud B,
Cloudpets,
Cmaxer,
Co-Sleeper,
Co-Z,
Coach,
"ColArt Americas, Inc.",
Coldwater Creek Inc.,
Coleman,
Colnago®,
Color Doctor,
Color WOW,
Colorama,
Colorbasket,
Colorphlex,
Columbia,
Combat Brand,
Combat Brands,
Combat Sports,
COMFIFY,Counterfeit
Comforday,
Comfort Height,
Comfort Products,
Comfort Research,
Comfort Zone,
COMFORTME,
Comie,
Community Coffee & Chicory,
Competition Clutch,
Completely Bare,
Comtrex,
Comwinn,
Conagra Inc,
Confidence,
Consul,
Contender Fight Sports,
Continental Airlines,
Continental Enterprises,
Contour Brands,
Contours Baby,
Convenience Concepts,
Converse,
COOCHEER,
coogi,
Cool Kidz,
Cool Mobility - Johanson Nominees Pty.,
Cool Sand,
Coola,
Copper Chef,Unauthentic Claim
Copper Chef Grill,IP Counterfeit complaint
Copper Chef XL,
Copper Crisper,
Copper Fit,
Copper Moon Coffee,
Copper Wear,
Coquetry Clubwear,
Corelle,
Coretex,
CorLiving,
Corningware,
Cornucopia,Trademark Infringement
Corona ,
Corsair,
Cosanti Originals by Paolo Soleri,
Costway,
Cotton Craft,
Couch Coat,
counterfiet,
Country Collectibles,
"Coway Co., Ltd",
Crabtree & Evelyn,
Cradler,
Craft Crush,
Craftsman,
Crane USA,
Crank Chop,
Crayola,
Creative Carvings by Monte,
Creative Home Ideas,
Creative Outdoor Distributor / COD USA ,
Creative Scents,
Creativity for Kids,
Creeks End Crochet,
Crest,
Crew Furniture,
Criswell Embroidery & Design,
Crock-pot,
Crocs,
Crow Canyon Home,
Crucial Vacuum,
Crystal Geyser,policy warning from Amazon
CS,
"Cucusoft, Inc.",
Cuffdadyy,
Cuisinart,
Cult Cosmetics,
Cupture,
Curls,
Curver,
Cushy Form ,
Cushy Straps,
Custpromo,
Cutco Cutlery Corporation,
cutecolors.com,
Cyber Distributors,
Cynthia Dakin,
Cypress Collectibles,
Daddy Knows Best,
Dadgear,
Daewoo,
Daily Wellness,
Dandy Blend,
Danes-R-Us Great Dane & Pet Art,
Daniel Bingham Design Studio,
danworkshop.com,
Danya B,
